ID,bbox
9bdda2b4-8398-4273-815a-9c5312656068,"50.3986,28.6601,-51.75,81.0449"
72626d64-d796-4acf-a757-20965e078e0f,"50.4106,28.6448,-47.1008,76.5519"
210d879c-3739-40e6-b7d3-f09aca38f4fa,"0.2534,46.6006,-0.6104,46.9426"
d6c5a303-857c-49c6-bc28-a271788e8b4e,"5.7338,48.4307,5.7328,48.4497"
259122db-ef8b-4831-a989-bb3d823398b0,"0.2802,45.8817,-0.5719,46.2235"
ef245d72-6d37-4b51-ac1e-5adfd226f612,"0.519,52.7897,-0.1092,53.069"
135e7926-330d-489d-8c15-9f30a16a8ec7,"-84.3499,41.83,-84.35,41.8501"
p16022coll246:453,"73.75,32.28333333,158.3,35.5"
cab7f0c9-28b7-4e9e-8153-a65ec7e8d7c5,"170.6,5.5,-8.3,84"
p16022coll230:629,"172,5,-15,84"
p16022coll230:427,"180,65,-180,90"
b41b54f5-db78-4501-b373-e9b451468841,"-84.3499,46.5,-84.35,46.5001"
f4f9b38a-b754-4006-9ca6-35607bbc4d37,"73.98,40.78,73.96,40.81"
35998189-3420-4d85-bcd4-d97530f2110d,"-73.9999,40.7,-74,40.7001"
p16022coll205:489,"-71.51531,-42.0028,-71.5153,42.00281"
p16022coll230:1328,"-80.16666667,41.66666667,146.3333333,45"
p16022coll230:692,"144.4,-14.75,-64.35,71.6"
p16022coll230:4121,"144.4,-14.75,-64.35,71.6"
p16022coll230:1321,"71.83333333,44.06666667,142.1,44.5"
872b48af-20af-4db5-9b50-454ca81d82b8,"-83.6199,42.23,-83.62,42.2301"
p16022coll230:684,"19.4,41.1833,-168.9667,82.05"
p16022coll230:2824,"-79.5668,-7.4001,-79.5667,-7.4"
ee57cf6c-37be-4c6a-ba1e-4b7dc9b9b856,"-179.87,-79.68,179.53,85"
a2b41450-994e-0134-2096-0050569601ca-2,"-179.9,-85.0,180.0,85.0"
46699589-597a-4394-aa15-3d70e6ecfd66,"-86.7101,39.2801,-86.71,39.28011"
p16022coll205:642,"-95.92971,41.2619,-95.9297,41.26191"
UNL~30~30~344~14274,"-180,-90,180,90"
p16022coll230:1273,"144.4,-14.75,-64.35,71.6"
